aAcc,mIoU,mAcc,data_time,time,step
31.07,15.51,30.7,0.11592377026875814,2.032697836558024,400.0
66.52,32.79,41.93,0.005157887935638428,0.4112868458032608,800.0
62.47,24.68,32.32,0.006080001592636108,0.4145193547010422,1200.0
60.06,19.65,27.06,0.005687013268470764,0.4128532409667969,1600.0
64.48,28.73,36.6,0.004848450422286987,0.4110387861728668,2000.0
70.35,38.03,45.81,0.005565762519836426,0.4121294170618057,2400.0
68.09,33.59,44.7,0.005720168352127075,0.4134553372859955,2800.0
