lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,memory,step
0.009998440697372778,0.01237669587135315,0.14809082448482513,0.10639503970742226,44.2962646484375,0.04169578244909644,43.84765625,1.5974575281143188,6130.0,8.0
0.00997794446709763,0.008306193351745605,0.10687734708189964,0.07571376860141754,72.5494384765625,0.031163579039275646,75.5218505859375,0.6403009176254273,3614.0,100.0
0.009955660594668054,0.008098578453063965,0.0990638941526413,0.07092980369925499,61.6180419921875,0.028134090453386308,55.010986328125,0.641545033454895,3614.0,200.0
0.009933371122565919,0.007943391799926758,0.09246221296489239,0.06548357233405114,54.4708251953125,0.02697864044457674,48.9349365234375,0.6419416904449463,3614.0,300.0
0.009911076035273796,0.008344745635986328,0.07958898358047009,0.056251656264066696,71.1639404296875,0.02333732694387436,71.905517578125,0.6431587219238282,3614.0,400.0
0.0098887753171919,0.0077373266220092775,0.08425940051674843,0.05981271676719189,66.5740966796875,0.024446683004498482,69.0643310546875,0.6424611806869507,5769.0,500.0
0.009866468952637547,0.008211231231689453,0.07885267212986946,0.05602523125708103,47.686767578125,0.02282744012773037,50.909423828125,0.642597770690918,3614.0,600.0
0.009844156925844432,0.008621668815612793,0.08485332354903222,0.060646459087729455,62.63427734375,0.02420686334371567,63.9892578125,0.643270468711853,3614.0,700.0
0.009821839220962003,0.007684588432312012,0.07464993260800838,0.05315593928098679,53.448486328125,0.021493993792682888,52.520751953125,0.6424360036849975,3614.0,800.0
0.009799515822054777,0.0078040361404418945,0.0731120951473713,0.05220041014254093,73.3367919921875,0.020911685563623904,68.707275390625,0.642568850517273,3614.0,900.0
0.00977718671310168,0.008197212219238281,0.07281618267297744,0.051666971296072006,73.4893798828125,0.02114921109750867,70.941162109375,0.6441199302673339,3614.0,1000.0
0.009754851877995354,0.00802600383758545,0.07641632929444313,0.054533416777849196,68.9605712890625,0.021882914006710052,69.268798828125,0.643787932395935,3614.0,1100.0
0.009732511300541468,0.008163094520568848,0.06498771086335182,0.045738786831498145,70.3857421875,0.019248924497514964,67.8192138671875,0.6439944982528687,3614.0,1200.0
0.009710164964458045,0.008305597305297851,0.06715613305568695,0.04701119661331177,63.0828857421875,0.020144935324788095,60.9344482421875,0.6453480005264283,3614.0,1300.0
0.009687812853374727,0.007294273376464844,0.06576658003032207,0.046616644412279126,77.6153564453125,0.0191499350592494,77.3956298828125,0.6426450967788696,3614.0,1400.0
0.009665454950832103,0.008117413520812989,0.07979297749698162,0.05585984066128731,64.84375,0.0239331366494298,64.0655517578125,0.6436510801315307,3614.0,1500.0
0.009643091240280942,0.008139753341674804,0.07493748143315315,0.05357819236814976,58.380126953125,0.02135928813368082,59.1827392578125,0.6435823678970337,3614.0,1600.0
0.009620721705081534,0.007799601554870606,0.06451490074396134,0.04548601247370243,65.4510498046875,0.01902888938784599,69.05517578125,0.6427859306335449,3614.0,1700.0
0.009598346328502901,0.007672333717346191,0.06660492420196533,0.04673437438905239,66.9952392578125,0.019870550464838745,65.570068359375,0.6416399002075195,3614.0,1800.0
0.009575965093722064,0.008722639083862305,0.07245425805449486,0.05139839574694634,70.4559326171875,0.021055861841887236,66.998291015625,0.6428884744644165,3614.0,1900.0
0.009553577983823325,0.00841085910797119,0.06723272390663623,0.047191882878541945,74.7772216796875,0.020040841307491064,74.5574951171875,0.6422972440719604,3614.0,2000.0
0.0095311849817975,0.007933425903320312,0.06908989697694778,0.04845153298228979,57.4127197265625,0.02063836492598057,56.829833984375,0.641837739944458,3614.0,2100.0
0.009508786070541123,0.008495330810546875,0.06241306737065315,0.043666869215667245,67.1478271484375,0.01874619796872139,62.4176025390625,0.6431530475616455,3614.0,2200.0
0.009486381232855704,0.008321118354797364,0.07045946046710014,0.0498407918959856,61.5325927734375,0.020618667639791966,61.8804931640625,0.6427858114242554,3614.0,2300.0
0.009463970451446941,0.00813136100769043,0.05904499627649784,0.041311031207442284,80.06591796875,0.0177339649759233,79.7607421875,0.6428399085998535,3614.0,2400.0
0.009441553708923918,0.008332943916320801,0.06415592692792416,0.04562971591949463,67.6910400390625,0.018526210729032756,70.880126953125,0.6429484605789184,3614.0,2500.0
0.009419130987798348,0.008444619178771973,0.06606467477977276,0.04632285796105862,72.6898193359375,0.01974181681871414,74.3865966796875,0.6433827877044678,3614.0,2600.0
0.009396702270483696,0.008514666557312011,0.07200458124279976,0.05077121984213591,59.82666015625,0.02123336186632514,61.5509033203125,0.6429302215576171,3614.0,2700.0
0.009374267539294417,0.007834720611572265,0.06219908744096756,0.0432207427918911,69.5556640625,0.018978343810886145,67.1966552734375,0.6419213771820068,3614.0,2800.0
0.00935182677644513,0.007617640495300293,0.06616561114788055,0.046696490794420245,80.6610107421875,0.019469119608402252,78.045654296875,0.6429238557815552,3614.0,2900.0
